distance,depth,length,width
3623.22,13,10,15
3623.28,10,12,15
3623.32,10,11,15
3623.74,10,9,15
3623.78,10,9,15
3623.86,10,14,15
3624.15,10,11,16
3624.26,11,11,27
3624.69,12,11,15
3625.07,11,12,15
3625.44,12,9,15
3625.53,15,13,29
3625.56,11,11,16
3625.93,13,9,15
3626.02,10,11,15
3626.11,11,9,15
3626.18,12,15,34
3626.96,11,12,15
3629.00,10,11,19
3629.47,10,8,15
3629.66,10,10,15
3630.04,14,12,15
3633.28,10,13,15
3634.32,10,25,15
3634.87,10,23,15
3634.94,12,29,33
3635.71,11,22,15
3636.14,12,10,15
3636.76,14,17,32
3637.62,12,17,32
3637.88,16,10,16
3638.13,15,17,34
3638.34,16,13,17
3638.60,11,17,15
3638.66,11,21,37
3639.19,12,10,33
3639.22,14,9,15
3639.37,14,12,32
3641.89,17,14,15
3642.05,10,9,15
3643.36,10,14,15
3644.18,14,11,15
3644.28,12,13,15
3644.77,10,10,15
3644.94,12,9,15
3647.25,12,11,15
3650.03,10,12,15
3651.25,11,9,15
3998.43,10,10,29
4000.50,11,10,15
4000.67,15,11,34
4000.93,11,11,15
4001.07,10,10,15
4001.66,16,11,15
4003.02,12,14,35
4003.05,12,12,15
4003.14,11,13,16
4003.27,10,12,15
4003.35,16,8,15
4003.37,10,10,15
4003.38,11,9,15
4003.45,15,10,15
4006.05,10,12,15
4014.76,10,12,15
4014.96,10,12,16
4014.99,10,9,15
4015.29,11,16,33
4015.35,16,19,34
4016.01,12,34,28
4029.28,11,12,16
4029.70,11,13,15
4030.52,13,11,26
4031.69,10,10,15
4032.12,13,10,15
4032.14,14,17,15
4032.24,10,11,21
4032.78,10,17,21
4033.92,10,17,15
4034.00,11,14,15
4034.12,10,12,15
4034.37,11,12,18
4035.00,13,14,19
4035.67,10,16,17
4036.50,13,11,15
4036.91,10,13,15
4037.39,10,9,15
4037.43,18,11,15
4037.47,11,14,28
4037.47,11,11,15
4037.58,12,11,15
4037.63,11,13,15
4037.66,16,17,31
4037.68,11,9,15
4037.75,10,10,15
4037.82,12,17,28
4037.83,12,14,15
4037.88,10,21,15
4037.88,11,12,15
4037.94,11,13,25
4044.84,10,8,15
4062.56,10,12,15
4062.88,10,9,15
4063.72,11,15,15
4066.91,11,10,15
4071.05,12,9,15
4071.42,13,11,16
4072.19,10,12,30
4073.38,13,9,15
4073.78,12,16,36
4073.88,13,12,31
4073.89,15,18,32
4073.95,10,10,15
4074.06,16,11,15
4074.11,10,15,15
4074.23,14,13,15
4074.48,12,14,34
4074.89,10,14,19
4075.56,13,13,15
4075.63,12,16,15
4075.65,12,17,15
4075.72,11,19,15
4075.76,10,10,18
4075.83,10,12,21
4075.88,14,9,15
4075.89,10,12,15
4075.93,14,12,15
4076.04,18,18,37
4076.09,11,14,15
4076.13,16,34,37
4076.15,10,9,15
4076.30,11,11,15
4076.33,11,12,15
4076.71,14,13,15
4090.61,11,12,15
4094.57,11,11,16
4100.02,13,14,16
4100.09,12,9,15
4100.10,14,12,19
4100.17,12,17,28
4100.17,14,28,56
4100.30,10,8,15
4100.31,12,17,30
4100.31,14,10,15
4100.50,12,15,28
4100.74,11,11,15
4101.12,11,9,15
4102.23,10,16,15
4102.65,12,11,20
4102.93,11,12,15
4102.94,10,12,15
4104.41,10,9,15
4106.64,10,10,15
4107.15,12,13,15
4107.76,11,11,15
4110.60,11,14,18
4112.43,11,12,15
4112.47,11,8,15
4112.57,13,16,15
4112.74,12,25,41
4112.94,11,20,30
4114.05,13,21,35
4114.21,11,14,15
4114.42,14,21,31
4114.74,10,12,15
4114.78,10,11,15
4115.24,10,9,15
4115.53,10,16,31
4115.61,10,9,15
4125.99,10,12,16
4128.31,10,13,15
4128.46,11,12,15
4128.46,10,12,15
4131.23,10,14,15
4133.72,12,15,15
4134.40,10,15,15
4134.63,10,12,16
4134.82,12,15,28
4134.92,12,11,15
4135.12,11,12,16
4138.03,10,11,15
4138.86,11,10,15
4140.74,10,13,15
4140.97,10,20,15
4141.41,10,9,15
4142.04,14,13,19
4142.06,10,12,18
4142.22,10,9,22
4142.23,11,12,15
4142.40,13,9,15
4142.48,11,11,15
4142.96,10,15,21
4143.02,11,14,23
4143.28,11,11,15
4143.49,10,11,15
4143.77,10,12,15
4143.78,10,12,15
4143.79,11,12,15
4143.83,11,12,15
4143.88,12,16,15
4143.89,15,10,16
4144.02,11,11,15
4144.25,10,12,15
4144.64,11,11,15
4145.27,10,15,15
4145.28,11,11,15
4145.51,11,12,15
4145.57,13,12,15
4145.58,12,12,18
4145.58,10,11,15
4146.00,11,13,15
4146.02,10,18,17
4146.26,10,9,15
4146.86,11,14,15
4163.35,10,19,16
4163.61,11,10,15
4163.79,10,10,15
4164.73,10,10,16
4165.73,10,15,29
4166.16,11,9,15
4166.85,10,10,15
4167.33,12,14,15
4167.76,10,14,15
4169.07,10,17,15
4169.60,10,10,15
4169.84,11,17,16
4169.94,10,11,15
4170.30,12,11,15
4170.54,10,13,15
4170.60,10,13,15
4171.42,11,16,19
4171.43,13,15,15
4172.52,10,17,15
4172.67,10,15,17
4174.31,10,13,18
4177.31,10,15,15
4177.48,10,14,18
4177.82,10,10,15
4178.06,10,21,15
4181.69,13,17,15
4181.87,10,9,15
4182.03,12,26,31
4182.06,10,12,15
4182.06,12,11,15
4182.12,11,9,15
4182.13,10,11,15
4182.20,13,18,29
4182.35,10,11,15
4182.40,13,10,15
4182.45,10,11,15
4182.46,10,22,15
4182.50,11,22,41
4182.56,15,14,22
4182.56,11,16,31
4182.56,17,20,31
4182.58,11,13,15
4182.62,12,15,25
4182.68,10,13,15
4182.70,13,23,32
4182.78,12,12,15
4182.84,10,11,15
4182.89,10,15,18
4182.92,10,11,15
4182.93,10,14,15
4187.85,11,23,15
4188.76,11,11,15
4192.88,10,11,15
4193.30,10,24,27
4193.47,10,10,15
4194.52,11,15,15
4194.63,10,12,19
4195.06,10,11,16
4202.77,11,13,15
4203.79,10,13,15
4204.20,10,11,15
4205.12,10,18,15
4210.89,12,11,15
4210.96,14,14,16
4215.12,11,21,24
4217.15,10,11,15
4217.90,10,10,19
4218.11,11,12,15
4218.99,13,13,17
4219.30,11,18,23
4219.92,10,15,15
4221.93,12,12,15
4229.88,10,11,16
4230.81,12,12,15
4233.94,10,11,15
4257.27,15,14,15
4257.65,10,20,15
4257.75,11,10,16
4258.31,11,11,15
4258.64,15,17,34
4258.68,11,10,15
4258.97,12,24,39
4261.00,15,11,15
4266.59,11,15,15
4266.61,10,21,15
4269.77,12,31,15
4270.20,10,20,15
4271.00,11,18,16
4271.43,10,12,15
4272.60,10,19,15
4273.27,10,16,15
4273.80,10,15,15
4275.98,10,13,15
4276.44,10,16,15
4277.52,10,15,15
4277.67,11,15,15
4278.03,13,20,15
4305.76,12,16,15
4306.54,12,10,15
4306.78,16,11,17
4306.82,11,14,16
4307.41,10,13,15
4314.09,10,8,15
4316.30,10,28,22
4553.78,10,17,30
4669.02,10,14,15
4675.27,10,18,15
4756.20,13,22,32
4820.23,10,9,15
4820.33,10,11,15
4820.49,10,8,15
4823.81,11,20,31
4824.26,12,28,15
4828.74,10,16,15
4832.73,11,18,16
4833.02,10,18,15
4833.32,13,18,15
4833.54,10,20,15
4833.69,11,12,15
4833.71,10,30,22
4833.83,11,21,31
4833.96,10,9,15
4834.20,12,22,26
4846.54,10,15,15
4846.77,10,23,15
4846.78,17,15,15
4846.84,11,27,60
4846.89,12,10,15
4846.92,10,13,15
4846.96,12,15,16
4847.44,14,13,32
4858.50,10,20,15
4858.70,10,28,15
4858.93,10,39,15
4860.15,12,11,31
4860.20,11,18,32
4860.37,11,25,33
4860.48,10,9,15
4860.62,10,29,15
4860.62,13,20,15
4860.69,18,12,15
4860.70,16,13,15
4860.73,11,9,15
4860.78,12,8,15
4860.93,12,9,15
4860.96,10,37,37
4860.97,10,11,17
4860.98,11,29,15
4861.07,11,22,15
4861.13,10,18,15
4861.44,11,10,15
5178.42,10,23,21
5462.44,12,19,19
5467.88,12,22,28
5797.78,12,45,82
5830.42,10,22,24
5910.85,10,10,15
5950.96,14,24,16
5955.00,10,21,16
6022.83,13,14,15
6024.10,10,11,15
6024.18,12,10,15
6024.66,11,14,15
6025.78,11,42,15
6025.79,11,15,21
6025.94,10,18,15
6025.98,16,15,16
6026.05,11,20,15
6026.47,10,24,15
6028.56,10,12,15
6028.57,11,16,15
6028.60,10,12,15
6028.77,11,15,16
6028.78,10,13,15
6240.97,10,24,15
6389.96,12,27,28
6413.04,11,10,15
6511.11,10,19,21
6685.99,10,11,15
6896.10,13,23,41
6896.11,14,13,17
6896.15,11,31,25
6921.72,10,18,16
7249.30,10,24,15
7463.99,10,36,51
7498.09,13,43,57
7498.15,13,38,49
7629.69,12,33,100
7883.09,16,14,15
8132.69,11,22,28
8520.87,10,31,22
8805.27,10,12,15
8874.15,10,9,15
9058.41,10,21,15
9312.95,18,44,39
10036.94,11,26,28
10145.38,11,22,15
10403.12,10,27,42
10403.94,10,31,54
10508.91,12,24,24
10702.61,10,26,49
10850.07,12,23,20
11172.17,10,17,22
11206.13,11,39,68
11576.00,10,18,15
11609.41,10,19,23
11611.71,10,13,15
11713.37,10,23,21
11945.30,10,14,19
12115.04,10,28,26
12298.51,14,10,20
12298.98,10,10,15
12325.17,10,19,26
12621.43,10,27,15
12658.44,10,39,46
12659.75,15,39,66
12661.46,10,17,20
12684.96,11,29,25
13092.47,10,16,19
13095.25,10,27,23
13096.63,10,25,26
13211.91,13,32,38
13298.60,10,15,17
13299.70,10,18,27
13481.43,10,15,15
13481.66,10,17,15
13482.60,11,16,15
13483.78,10,15,15
13483.92,10,13,15
13484.32,10,14,15
13484.49,10,18,15
13485.00,11,13,15
13491.41,10,18,15
13498.59,10,17,16
13508.08,10,19,15
13516.58,10,33,15
13520.96,10,30,15
13521.02,10,27,15
13521.12,10,12,15
13521.15,10,27,15
13522.49,11,25,15
13522.84,11,10,15
13522.88,10,15,15
13523.24,10,19,15
13523.28,12,33,15
13523.71,10,23,15
13523.78,10,18,15
13540.28,10,19,15
13541.54,10,18,15
13545.95,11,24,15
13549.16,11,15,22
13564.19,10,17,15
13572.11,12,23,15
13586.01,10,15,15
13604.31,10,36,15
13604.32,13,18,15
13604.49,12,18,15
13604.81,14,27,15
13605.67,10,24,24
13606.09,11,20,15
13606.42,11,13,15
13606.97,10,21,15
13607.24,12,20,15
13626.21,10,19,15
13629.05,10,15,15
13643.05,10,15,15
13645.08,10,13,15
13645.70,10,16,15
13679.89,10,15,15
13748.59,11,23,15
13755.26,10,15,15
13756.26,10,19,15
13782.84,13,15,15
13936.90,10,14,15
13942.94,10,23,21
13943.35,10,25,25
13943.54,12,17,15
13943.72,10,25,25
13945.28,10,15,15
13945.41,10,28,22
13946.31,12,24,15
13946.41,15,22,23
13946.92,13,20,16
13947.49,10,17,15
13947.89,11,18,15
13948.05,12,17,15
14056.22,10,20,15
14056.50,12,19,15
14072.05,10,14,15
14072.45,12,13,15
14073.61,10,10,15
14073.79,10,14,15
14076.78,10,14,15
14076.87,12,20,16
14083.72,10,25,16
14083.84,10,23,15
14084.13,10,19,15
14187.91,11,14,15
14311.46,10,21,15
14312.13,11,18,15
14312.41,11,22,21
14312.83,10,60,25
14312.93,11,19,15
14313.00,10,27,15
14315.92,10,19,15
14316.59,11,20,15
14318.31,11,16,15
14320.10,10,18,17
14603.17,10,20,15
14603.33,10,14,15
14605.28,11,19,15
14605.41,10,15,16
14609.27,10,21,45
14716.37,10,15,16
14718.33,12,35,15
14719.18,10,27,18
14720.22,10,15,15
14720.54,10,15,15
14723.53,12,15,15
14724.87,11,12,16
14726.33,10,19,15
14753.97,10,21,19
14754.29,11,20,15
14754.84,10,23,15
14754.90,11,24,15
14755.04,12,20,15
14755.06,11,15,15
14755.85,10,12,15
14755.91,11,27,15
14756.33,11,22,15
14756.68,10,15,15
14757.12,10,14,15
14757.48,12,20,15
14757.85,11,35,16
14757.94,10,17,15
14758.23,10,20,15
14758.37,10,11,15
14758.47,10,13,15
14758.94,10,12,15
14760.00,10,32,15
14764.33,10,18,15
14767.44,13,14,15
14767.53,10,11,15
15772.53,10,24,23
15782.17,11,15,15
15975.97,10,22,15
16016.76,10,26,16
16145.88,10,17,15
16225.17,10,17,15
16379.36,10,13,15
16385.29,10,13,15
16385.49,10,15,15
16400.29,10,13,15
16777.64,10,16,15
16968.63,13,18,15
16968.88,12,15,15
17040.81,11,11,15
17192.12,12,24,15
17192.64,10,14,15
17192.79,10,29,15
17194.45,10,21,15
17197.53,10,31,18
17293.68,11,13,15
17294.05,10,25,15
17295.06,10,23,15
17295.42,12,15,15
17296.49,11,18,15
17436.31,10,19,15
17537.86,12,21,15
18255.49,10,17,17
18392.45,10,19,15
18446.95,10,11,15
18463.64,10,19,15
18516.99,11,19,15
18517.52,10,19,15
18517.63,10,18,15
18517.69,10,18,15
18517.93,10,24,15
18518.02,10,21,15
18518.13,12,17,15
18518.25,11,21,15
18518.34,10,16,17
18518.38,10,26,15
18518.43,10,21,15
18523.63,10,16,15
18525.39,10,13,15
18667.05,10,14,15
18667.29,13,24,15
18667.34,11,17,15
18667.44,10,25,15
18667.54,10,15,23
18675.67,14,10,15
18872.94,11,20,15
19029.49,10,15,15
19060.16,11,9,15
19085.65,10,20,15
19085.73,10,17,15
19085.82,10,15,15
19085.86,11,11,15
19085.92,17,28,15
19085.93,10,14,16
19086.00,10,9,16
19086.01,17,22,15
19086.01,13,30,15
19086.11,12,15,15
19086.13,12,18,15
19086.25,11,23,15
19086.40,10,13,15
19086.64,10,31,18
19086.74,11,14,15
19086.84,10,35,15
19087.05,12,16,16
19087.32,10,22,24
19087.70,12,27,15
19087.93,10,15,15
19088.20,10,14,15
19088.39,10,16,15
19614.15,11,13,15
19614.22,10,17,15
19614.29,11,18,15
19614.36,12,24,15
19614.50,14,25,15
19614.62,11,16,15
19614.84,10,18,28
19614.84,14,18,15
19615.03,12,12,15
19615.04,13,16,15
19615.08,15,36,15
19615.10,11,15,15
19615.11,12,15,15
19615.12,11,24,15
19615.20,13,61,29
19615.20,11,26,15
19615.20,13,21,32
19615.25,11,20,15
19615.26,14,29,22
19615.27,13,28,18
19615.33,10,28,27
19615.33,14,23,23
19615.33,12,34,15
19615.38,10,13,15
19615.40,13,21,20
19615.45,17,21,15
19615.47,11,19,15
19615.53,13,20,17
19615.55,10,15,15
19615.56,13,15,15
19615.59,12,14,15
19615.61,16,48,37
19615.62,12,29,15
19615.62,17,28,15
19615.63,10,20,15
19615.63,11,15,15
19615.66,11,9,15
19615.67,11,16,15
19615.70,10,23,18
19615.77,12,15,15
19615.79,10,15,15
19615.79,11,20,46
19615.80,10,25,25
19615.82,10,11,15
19615.85,10,16,15
19615.85,17,25,15
19615.87,18,20,15
19615.91,10,19,18
19615.93,17,18,16
19615.98,12,23,15
19615.98,13,19,15
19615.99,14,22,15
19616.01,11,27,20
19616.19,10,26,15
19616.27,10,20,15
19616.41,12,13,15
19616.47,11,16,16
19676.70,11,25,15
19677.01,10,14,15
19677.04,10,28,15
19716.74,11,12,15
19717.19,11,14,19
19727.54,10,14,15
19727.79,10,14,15
19729.17,10,27,16
19729.29,16,34,38
19729.35,10,35,18
19729.38,11,15,15
19729.54,10,13,15
19729.82,10,24,15
19729.98,10,23,15
19731.55,11,13,15
19740.65,14,15,15
19740.82,10,15,15
19740.89,11,15,15
19764.53,10,14,15
19766.99,10,16,15
19767.79,10,13,15
19783.77,11,10,15
19962.61,12,21,15
19962.64,10,21,15
19962.66,10,14,15
19963.00,11,30,15
19978.94,10,16,15
19979.04,10,13,15
19979.33,11,14,15
19979.54,10,14,15
19979.70,10,17,15
19979.98,10,11,15
19980.03,12,15,15
20020.08,11,16,15
20020.17,11,19,17
20020.25,10,22,15
20020.33,13,29,15
20020.40,15,24,15
20020.56,13,21,15
20020.63,14,33,15
20020.72,16,24,15
20020.83,13,15,16
20020.93,16,14,15
20020.93,12,15,15
20021.04,15,15,15
20021.07,10,25,15
20021.16,10,21,22
20113.74,10,15,15
20120.74,13,14,15
20182.92,11,41,39
20183.26,11,20,15
20200.01,10,16,15
20204.02,11,12,15
20207.92,10,15,15
20208.01,11,14,15
20208.04,10,14,15
20208.19,11,23,15
20208.24,12,20,15
20208.27,10,19,14
20208.34,11,15,15
20208.41,11,20,15
20208.47,10,12,15
20208.55,10,11,15
20208.74,11,15,15
20208.99,10,15,15
20209.36,10,12,15
20209.52,10,15,15
20209.87,10,20,15
20216.28,10,19,15
20217.66,10,15,15
20232.50,11,12,20
20247.08,10,13,15
20247.09,13,16,15
20247.26,10,11,15
20247.37,12,15,15
20247.51,10,15,20
20247.60,10,31,15
20248.04,10,22,18
20261.95,10,20,19
20265.38,12,22,15
20265.79,10,17,15
20265.93,10,18,15
20291.79,11,27,15
20423.57,10,13,15
20423.63,10,18,15
20424.35,10,23,15
20424.86,11,15,15
20425.12,11,22,15
20425.44,13,32,16
20425.47,13,18,15
20425.75,10,16,15
20425.83,11,17,15
20425.86,11,17,15
20425.88,10,23,15
20425.89,11,15,15
20425.92,10,16,15
20425.94,11,21,15
20426.06,12,22,15
20426.18,13,22,15
20426.28,10,18,15
20426.31,10,20,15
20426.42,11,17,15
20426.50,10,21,15
20477.94,13,18,15
20480.77,10,11,15
20481.33,10,14,15
20481.76,10,15,15
20481.79,11,12,15
20482.44,10,16,20
20482.82,10,17,15
20482.83,10,13,15
20483.44,10,12,15
20483.52,10,15,15
20485.53,10,19,16
20485.74,10,14,15
20485.93,11,16,15
20486.05,10,16,15
20486.06,10,23,23
20486.15,11,17,15
20487.21,10,21,15
20487.42,10,10,15
20487.54,10,17,15
20487.55,10,15,15
20487.69,12,13,15
20650.86,11,20,15
20655.20,11,18,15
20655.41,10,14,15
20656.37,10,16,15
20673.92,12,20,34
20674.06,10,19,16
21256.25,11,14,15
21346.48,10,17,15
21349.93,10,18,15
21352.79,10,25,15
21353.37,10,18,15
21353.92,11,15,15
21354.27,12,47,31
21354.49,10,19,15
21354.56,11,25,15
21354.95,10,25,15
21355.16,10,16,17
21355.27,12,23,15
21356.80,10,23,15
21529.23,10,16,15
21529.59,12,17,15
21529.74,11,31,40
21529.80,12,23,23
21529.90,11,18,18
21529.96,11,21,15
21530.04,13,16,15
21530.05,10,18,15
21530.11,10,25,23
21530.18,13,16,15
21530.36,10,8,15
21530.43,11,23,15
21530.48,11,14,15
21530.69,10,11,15
21530.98,11,17,19
21531.42,11,20,16
21531.48,10,13,15
21532.16,10,15,15
21532.29,11,12,15
21671.53,11,116,47
21671.67,10,29,25
21671.91,14,114,101
21672.10,10,40,20
21672.20,15,17,15
21672.76,10,30,16
21672.81,10,27,15
21672.95,14,26,32
21673.02,10,32,15
21673.08,14,17,15
21673.09,16,15,24
21673.10,11,26,35
21673.21,10,16,15
21673.23,10,12,15
21673.30,14,20,29
21673.32,10,18,15
21673.56,11,12,18
21673.59,11,19,17
21673.60,16,17,15
21673.67,11,21,15
21673.72,11,22,15
21673.79,10,27,15
21673.80,10,23,57
21673.86,11,24,15
21673.95,12,35,21
